,spotify_id,name,followers,popularity,genres,chart_hits
558,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,15862633.0,86,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']","['us (4)', 'gb (29)', 'ar (16)', 'au (13)', 'at (2)', 'be (16)', 'bo (7)', 'br (11)', 'bg (25)', 'ca (4)', 'cl (7)', 'co (8)', 'cr (5)', 'cy (8)', 'cz (13)', 'dk (2)', 'do (1)', 'ec (6)', 'eg (2)', 'sv (3)', 'ee (12)', 'fi (4)', 'fr (2)', 'de (1)', 'gr (17)', 'gt (1)', 'hn (3)', 'hk (1)', 'hu (16)', 'is (5)', 'id (5)', 'ie (27)', 'il (15)', 'it (4)', 'lv (14)', 'lt (17)', 'lu (3)', 'my (7)', 'mt (12)', 'mx (8)', 'nl (3)', 'nz (10)', 'ni (2)', 'no (2)', 'pa (2)', 'py (5)', 'pe (4)', 'ph (2)', 'pl (19)', 'pt (23)', 'ro (16)', 'sa (2)', 'sg (4)', 'sk (15)', 'es (7)', 'ch (2)', 'tw (2)', 'th (5)', 'tr (11)', 'ua (4)', 'ae (4)', 'uy (5)', 'vn (1)']"
567,4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1174594.0,70,"['alt z', 'electropop', 'pop']","['us (1)', 'ca (1)', 'my (3)', 'ro (1)', 'sg (3)', 'tw (2)', 'th (1)', 'vn (2)']"
596,5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,761535.0,58,"['hip hop', 'virginia hip hop']","['us (4)', 'gb (3)', 'au (3)', 'at (1)', 'be (2)', 'bg (4)', 'ca (2)', 'cy (2)', 'cz (2)', 'dk (1)', 'ee (2)', 'fi (1)', 'de (2)', 'gr (3)', 'hk (2)', 'hu (2)', 'is (2)', 'id (1)', 'ie (2)', 'il (1)', 'jp (1)', 'lv (2)', 'lt (2)', 'lu (2)', 'my (2)', 'mt (2)', 'nl (1)', 'nz (3)', 'no (1)', 'ph (1)', 'pl (1)', 'pt (2)', 'ro (1)', 'sg (1)', 'sk (2)', 'se (1)', 'ch (2)', 'tw (3)', 'th (2)', 'tr (1)', 'vn (1)']"
606,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,26039960.0,87,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']","['us (40)', 'gb (22)', 'ar (5)', 'au (19)', 'at (9)', 'be (14)', 'bo (4)', 'br (7)', 'bg (29)', 'ca (31)', 'cl (5)', 'co (5)', 'cr (5)', 'cy (15)', 'cz (10)', 'dk (7)', 'do (8)', 'ec (4)', 'eg (1)', 'sv (5)', 'ee (15)', 'fi (13)', 'fr (5)', 'de (11)', 'gr (23)', 'gt (3)', 'hn (6)', 'hk (11)', 'hu (14)', 'is (12)', 'in (2)', 'id (1)', 'ie (17)', 'il (6)', 'it (5)', 'jp (1)', 'lv (13)', 'lt (15)', 'lu (14)', 'my (11)', 'mt (12)', 'mx (3)', 'ma (2)', 'nl (10)', 'nz (18)', 'ni (4)', 'no (13)', 'pa (6)', 'py (4)', 'pe (3)', 'ph (9)', 'pl (10)', 'pt (13)', 'ro (16)', 'sa (4)', 'sg (12)', 'sk (17)', 'za (11)', 'kr (2)', 'es (5)', 'se (13)', 'ch (16)', 'tw (13)', 'th (6)', 'tr (8)', 'ae (4)', 'uy (4)', 'vn (8)']"
642,1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,8355571.0,76,"['latin pop', 'rap latina', 'reggaeton', 'trap latino']","['us (1)', 'ar (13)', 'bo (17)', 'cl (15)', 'co (11)', 'cr (8)', 'do (19)', 'ec (15)', 'sv (11)', 'gr (1)', 'gt (12)', 'hn (10)', 'hu (1)', 'it (2)', 'jp (1)', 'lu (1)', 'mt (2)', 'mx (7)', 'nl (1)', 'ni (9)', 'pa (16)', 'py (15)', 'pe (16)', 'pt (1)', 'ro (1)', 'sk (1)', 'es (15)', 'se (1)', 'ch (2)', 'uy (17)']"
652,3IaKn0ExWTMPqa0mscUYw3,Only The Family,272267.0,62,"['chicago rap', 'rap', 'southern hip hop', 'trap']",['us (2)']
676,6U3ybJ9UHNKEdsH7ktGBZ7,JID,987676.0,80,"['hip hop', 'rap']","['us (4)', 'ca (2)', 'za (1)']"
694,1vSN1fsvrzpbttOYGsliDr,Tori Kelly,2052997.0,67,['dance pop'],"['us (4)', 'gb (1)', 'au (3)', 'be (1)', 'bg (1)', 'ca (6)', 'cz (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'id (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (2)', 'mt (1)', 'nl (3)', 'nz (4)', 'no (2)', 'ph (2)', 'pl (1)', 'pt (1)', 'sg (1)', 'sk (1)', 'se (2)', 'ch (1)', 'tw (1)', 'tr (1)']"
699,0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,7604808.0,76,"['contemporary country', 'country', 'country road']","['us (13)', 'bg (1)', 'ca (7)', 'cz (1)', 'ee (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'lv (1)', 'lt (1)', 'my (2)', 'mt (1)', 'ph (2)', 'pl (1)', 'sg (2)', 'sk (1)', 'ch (1)', 'tw (1)']"
705,7gjAu1qr5C2grXeQFFOGeh,Passion Pit,1217196.0,59,"['alternative dance', 'indie rock', 'indietronica', 'modern rock']","['us (2)', 'ee (1)', 'is (1)', 'lv (1)', 'lt (1)', 'mx (1)', 'pl (1)', 'sg (1)', 'tw (1)']"
706,44IvvHRk2XF243QLA2VOa8,Stunna 4 Vegas,776388.0,59,"['trap', 'viral rap']","['us (1)', 'ca (1)', 'is (1)']"
730,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",3592523.0,72,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']","['us (1)', 'gb (1)', 'au (1)', 'be (1)', 'ca (1)', 'cz (1)', 'dk (1)', 'ee (1)', 'fr (1)', 'hu (1)', 'is (1)', 'ie (1)', 'il (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'nl (1)', 'nz (2)', 'pl (1)', 'sa (1)', 'sk (1)', 'se (1)', 'ch (1)']"
