Source,Target,Type,Id,Label,Weight
2542,413,Undirected,23552,,1
1295,618,Undirected,23553,,1
1783,425,Undirected,23554,,1
413,301,Undirected,23555,,1
839,587,Undirected,23556,,1
859,650,Undirected,23557,,1
883,5,Undirected,23558,,1
884,455,Undirected,23559,,1
373,323,Undirected,23560,,1
272,246,Undirected,23561,,1
294,97,Undirected,23562,,1
754,436,Undirected,23563,,1
638,474,Undirected,23564,,1
2853,717,Undirected,23565,,1
2713,458,Undirected,23566,,1
1867,376,Undirected,23567,,1
1935,42,Undirected,23568,,1
859,590,Undirected,23569,,1
456,23,Undirected,23570,,1
29,5,Undirected,23571,,1
964,694,Undirected,23572,,1
943,141,Undirected,23573,,1
2214,669,Undirected,23574,,1
854,130,Undirected,23575,,1
339,313,Undirected,23576,,1
597,355,Undirected,23577,,1
867,444,Undirected,23578,,1
2333,48,Undirected,23579,,1
1343,879,Undirected,23580,,1
1542,356,Undirected,23581,,1
2231,120,Undirected,23582,,1
666,1,Undirected,23583,,1
546,139,Undirected,23584,,1
2555,749,Undirected,23585,,1
708,43,Undirected,23586,,1
844,13,Undirected,23587,,1
3015,476,Undirected,23588,,1
2723,284,Undirected,23589,,1
226,191,Undirected,23590,,1
614,272,Undirected,23591,,1
2225,220,Undirected,23592,,1
845,199,Undirected,23593,,1
1626,724,Undirected,23594,,1
2610,552,Undirected,23595,,1
638,94,Undirected,23596,,1
665,602,Undirected,23597,,1
2627,95,Undirected,23598,,1
2941,57,Undirected,23599,,1
754,315,Undirected,23600,,1
458,360,Undirected,23601,,1
921,727,Undirected,23602,,1
1379,986,Undirected,23603,,1
2231,510,Undirected,23604,,1
1598,962,Undirected,23605,,1
1999,219,Undirected,23606,,1
414,372,Undirected,23607,,1
797,738,Undirected,23608,,1
1062,948,Undirected,23609,,1
314,94,Undirected,23610,,1
665,174,Undirected,23611,,1
805,708,Undirected,23612,,1
389,242,Undirected,23613,,1
406,225,Undirected,23614,,1
1402,787,Undirected,23615,,1
2528,373,Undirected,23616,,1
929,16,Undirected,23617,,1
1489,546,Undirected,23618,,1
661,365,Undirected,23619,,1
932,360,Undirected,23620,,1
723,613,Undirected,23621,,1
239,33,Undirected,23622,,1
943,787,Undirected,23623,,1
1284,767,Undirected,23624,,1
487,198,Undirected,23625,,1
923,365,Undirected,23626,,1
362,191,Undirected,23627,,1
331,278,Undirected,23628,,1
202,99,Undirected,23629,,1
489,322,Undirected,23630,,1
283,33,Undirected,23631,,1
511,271,Undirected,23632,,1
2365,191,Undirected,23633,,1
1725,567,Undirected,23634,,1
943,376,Undirected,23635,,1
739,727,Undirected,23636,,1
760,643,Undirected,23637,,1
543,283,Undirected,23638,,1
1826,97,Undirected,23639,,1
816,97,Undirected,23640,,1
2287,674,Undirected,23641,,1
973,859,Undirected,23642,,1
3004,451,Undirected,23643,,1
